call_id,audio_path,start_time,end_time,noise_type,sr,seg_start_sample,seg_end_sample,core_start_sample,core_end_sample,source_sr,source_len,n_channels,source_core_start,source_core_end,detected_f0,multi_elephant,f0_b,snr_before_db,snr_after_db,snr_improvement_db,f0_hz,harmonic_completeness,harmonics_present,harmonics_possible,valid,reverted,cluster,umap_x,umap_y
2000-24_generator_noise_2_c083,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_2.wav,214.2506,218.9331126,generator_60hz,4000,851002,881732,857002,875732,48000,17740327,1,10284028,10508789,23.4375,False,0.0,8.83,8.83,0.0,23.4,0.579,11,19,True,True,2.0,15.628,5.0
2000-24_generator_noise_2_c084,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_2.wav,228.4046,235.4218933,generator_60hz,4000,907618,947687,913618,941687,48000,17740327,1,10963420,11300250,33.203125,False,0.0,6.78,6.78,0.0,33.2,0.526,10,19,True,True,2.0,16.013,5.518
2000-24_generator_noise_2_c085,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_2.wav,260.0582,264.4746607,generator_60hz,4000,1034232,1063898,1040232,1057898,48000,17740327,1,12482793,12694783,13.671875,False,0.0,9.05,14.13,5.08,13.7,0.737,14,19,True,False,6.0,12.02,7.227
2000-24_generator_noise_3_c086,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_3.wav,10.6417,13.30221852,generator_60hz,4000,36566,59208,42566,53208,48000,2007165,1,510801,638506,25.390625,True,15.625,4.9,7.68,2.78,25.4,0.211,4,19,True,False,3.0,-2.258,15.651
2000-24_generator_noise_3_c087,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_3.wav,13.9407,19.63420963,generator_60hz,4000,49762,84536,55762,78536,48000,2007165,1,669153,942442,29.296875,True,15.625,8.55,8.55,0.0,29.3,0.526,10,19,True,True,1.0,-3.41,14.08
2000-24_generator_noise_4_c088,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_4.wav,19.0808,24.18899555,generator_60hz,4000,70323,102755,76323,96755,48000,11071780,1,915878,1161071,29.296875,False,0.0,3.83,11.4,7.57,29.3,0.316,6,19,True,False,4.0,14.874,7.922
2000-24_generator_noise_4_c089,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_4.wav,72.4093,79.27343778,generator_60hz,4000,283637,323093,289637,317093,48000,11071780,1,3475646,3805125,19.53125,False,0.0,-1.89,9.18,11.07,19.5,0.579,11,19,True,False,6.0,13.856,7.903
2000-24_generator_noise_4_c090,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_4.wav,79.0019,84.57046058,generator_60hz,4000,310007,344281,316007,338281,48000,11071780,1,3792091,4059382,25.390625,True,13.671875,6.66,6.66,0.0,25.4,0.579,11,19,True,True,1.0,-3.459,14.149
2000-24_generator_noise_4_c091,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_4.wav,84.1156,86.77611852,generator_60hz,4000,330462,353104,336462,347104,48000,11071780,1,4037548,4165253,11.71875,False,0.0,4.29,4.29,0.0,11.7,1.0,19,19,True,True,0.0,10.699,4.308
2000-24_generator_noise_4_c092,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_4.wav,86.7761,90.28798444,generator_60hz,4000,341104,367151,347104,361151,48000,11071780,1,4165252,4333823,25.390625,False,0.0,12.34,12.34,0.0,25.4,0.632,12,19,True,True,2.0,15.256,4.712
2000-24_generator_noise_4_c093,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_4.wav,100.1851,105.7721889,generator_60hz,4000,394740,429088,400740,423088,48000,11071780,1,4808884,5077065,21.484375,False,0.0,9.27,12.44,3.16,21.5,0.474,9,19,True,False,2.0,15.728,7.015
2000-24_generator_noise_4_c094,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_4.wav,138.7455,145.2903756,generator_60hz,4000,548982,587161,554982,581161,48000,11071780,1,6659784,6973938,23.4375,False,0.0,9.92,11.79,1.87,23.4,0.526,10,19,True,False,2.0,15.967,6.538
2000-24_generator_noise_4_c095,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_4.wav,195.4937,202.6771,generator_60hz,4000,775974,816708,781974,810708,48000,11071780,1,9383697,9728500,27.34375,False,0.0,10.2,12.77,2.57,27.3,0.474,9,19,True,False,2.0,16.071,6.45
2000-24_generator_noise_4_c096,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_generator_noise_4.wav,220.3618,226.8002548,generator_60hz,4000,875447,913201,881447,907201,48000,11071780,1,10577366,10886412,19.53125,False,0.0,2.72,2.72,0.0,19.5,0.842,16,19,True,True,0.0,11.979,4.203
2000-24_vehicle_and_generator_noise_1_c097,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_and_generator_noise_1.wav,21.3066,29.23494518,generator_60hz,4000,79226,122939,85226,116939,48000,5166831,1,1022716,1403277,25.390625,False,0.0,13.29,13.29,0.0,25.4,0.632,12,19,True,True,2.0,16.146,6.316
2000-24_vehicle_and_generator_noise_1_c098,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_and_generator_noise_1.wav,89.4685,93.29964666,generator_60hz,4000,351874,379198,357874,373198,48000,5166831,1,4294488,4478383,23.4375,False,0.0,9.83,9.83,0.0,23.4,0.632,12,19,True,True,2.0,15.351,4.789
2000-24_vehicle_noise_1_c099,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_noise_1.wav,10.412,16.15872,car,4000,35648,70634,41648,64634,48000,14529710,1,499776,775618,17.578125,False,0.0,-1.22,5.11,6.33,17.6,0.579,11,19,True,False,6.0,13.127,4.366
2000-24_vehicle_noise_1_c100,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_noise_1.wav,19.7771,24.45961259,car,4000,73108,103838,79108,97838,48000,14529710,1,949300,1174061,23.4375,False,0.0,4.37,11.31,6.94,23.4,0.579,11,19,True,False,6.0,13.335,7.587
2000-24_vehicle_noise_1_c101,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_noise_1.wav,27.7586,32.49432296,car,4000,105034,135977,111034,129977,48000,14529710,1,1332412,1559727,25.390625,False,0.0,10.27,14.27,4.0,25.4,0.368,7,19,True,False,4.0,15.471,7.844
2000-24_vehicle_noise_1_c102,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_noise_1.wav,44.6959,49.27199185,car,4000,172783,203087,178783,197087,48000,14529710,1,2145403,2365055,19.53125,True,31.25,5.6,9.48,3.88,19.5,0.263,5,19,True,False,3.0,-2.963,16.032
2000-24_vehicle_noise_1_c103,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_noise_1.wav,71.4607,75.71752963,car,4000,279842,308870,285842,302870,48000,14529710,1,3430113,3634441,11.71875,False,0.0,0.36,5.77,5.4,11.7,0.947,18,19,True,False,0.0,10.901,4.023
2000-24_vehicle_noise_1_c104,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_noise_1.wav,90.2942,94.44460889,car,4000,355176,383778,361176,377778,48000,14529710,1,4334121,4533341,17.578125,False,0.0,4.03,12.29,8.26,17.6,0.526,10,19,True,False,6.0,13.069,7.271
2000-24_vehicle_noise_1_c105,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_noise_1.wav,119.2612,122.7730844,car,4000,471044,497092,477044,491092,48000,14529710,1,5724537,5893108,21.484375,False,0.0,1.54,4.31,2.77,21.5,0.579,11,19,True,False,5.0,12.649,5.103
2000-24_vehicle_noise_1_c106,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_noise_1.wav,133.2023,137.7251815,car,4000,526809,556900,532809,550900,48000,14529710,1,6393710,6610808,19.53125,False,0.0,6.38,7.27,0.89,19.5,0.684,13,19,True,False,2.0,13.179,4.83
2000-24_vehicle_noise_1_c107,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_noise_1.wav,176.3744,180.7908607,car,4000,699497,729163,705497,723163,48000,14529710,1,8465971,8677961,25.390625,False,0.0,13.17,16.96,3.79,25.4,0.474,9,19,True,False,4.0,15.51,7.889
2000-24_vehicle_noise_1_c108,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_noise_1.wav,186.8601,192.5791622,car,4000,741440,776316,747440,770316,48000,14529710,1,8969284,9243799,25.390625,False,0.0,7.61,7.61,0.0,25.4,0.579,11,19,True,True,2.0,15.874,5.177
2000-24_vehicle_noise_1_c109,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_noise_1.wav,202.9069,205.6206289,car,4000,805627,828482,811627,822482,48000,14529710,1,9739531,9869790,29.296875,False,0.0,2.8,11.29,8.49,29.3,0.316,6,19,True,False,4.0,14.743,8.571
2000-24_vehicle_noise_1_c110,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_noise_1.wav,219.5196,222.6590119,car,4000,872078,896636,878078,890636,48000,14529710,1,10536940,10687632,31.25,False,0.0,4.76,15.0,10.24,31.2,0.421,8,19,True,False,4.0,15.08,8.969
2000-24_vehicle_noise_1_c111,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_noise_1.wav,264.9425,272.7685851,car,4000,1053770,1097074,1059770,1091074,48000,14529710,1,12717240,13092892,33.203125,False,0.0,2.71,11.71,9.0,33.2,0.368,7,19,True,False,4.0,14.934,7.701
2000-24_vehicle_noise_1_c112,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_noise_1.wav,287.9692,295.6447835,car,4000,1145876,1188579,1151876,1182579,48000,14529710,1,13822521,14190949,11.71875,False,0.0,-1.25,1.35,2.61,11.7,0.789,15,19,True,False,0.0,11.996,4.046
2000-24_vehicle_noise_2_c113,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-24_vehicle_noise_2.wav,38.1506,43.15237481,car,4000,146602,178609,152602,172609,48000,2436298,1,1831228,2071313,19.53125,False,0.0,10.99,12.22,1.22,19.5,0.474,9,19,True,False,2.0,15.565,6.843
2000-27_airplane_01_c114,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-27_airplane_01.wav,133.3136,139.5924237,airplane,4000,527254,564369,533254,558369,48000,14791529,1,6399052,6700436,23.4375,False,0.0,9.6,13.72,4.12,23.4,0.368,7,19,True,False,2.0,15.61,7.448
2000-27_airplane_01_c115,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-27_airplane_01.wav,221.1145,228.4575311,airplane,4000,878458,919830,884458,913830,48000,14791529,1,10613496,10965961,21.484375,False,0.0,2.64,9.02,6.38,21.5,0.421,8,19,True,False,2.0,14.266,7.996
2000-3_airplane_02_c116,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-3_airplane_02.wav,43.912,48.11561926,airplane,4000,169648,198462,175648,192462,48000,3169335,1,2107776,2309549,17.578125,False,0.0,8.39,14.56,6.17,17.6,0.947,18,19,True,False,0.0,11.951,7.433
2000-3_airplane_02_c117,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-3_airplane_02.wav,55.6715,59.18338444,airplane,4000,216686,242733,222686,236733,48000,3169335,1,2672232,2840802,29.296875,True,17.578125,6.3,11.39,5.08,29.3,0.211,4,19,True,False,3.0,-1.729,15.603
2000-3_airplane_03_c118,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2000-3_airplane_03.wav,71.0204,77.08638222,airplane,4000,278081,314345,284081,308345,48000,9457534,1,3408979,3700146,27.34375,True,15.625,5.84,8.96,3.12,27.3,0.211,4,19,True,False,3.0,-2.384,15.144
2002-2_airplane_01_c119,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2002-2_airplane_01.wav,112.2981,116.1292467,airplane,4000,443192,470516,449192,464516,48000,9977198,1,5390308,5574203,21.484375,False,0.0,8.25,15.2,6.95,21.5,0.895,17,19,True,False,6.0,12.073,7.548
2002-2_airplane_01_c120,..\recordings\2026)-20260411T194946Z-3-001\Audio Files (04-10-2026)\2002-2_airplane_01.wav,119.0026,123.8979541,airplane,4000,470010,501591,476010,495591,48000,9977198,1,5712124,5947101,19.53125,False,0.0,3.13,5.19,2.06,19.5,0.632,12,19,True,False,2.0,13.005,4.69
